Closest HP Site,City,Latitude,Longitude,Year,Accident,Active Shooter,Civil Unrest,Criminal Activity,Health / Outbreak,Natural Disaster,Others,Political Unrest,Terrorist Act,Cyberattack,Power loss,Total_Risk_Score,Normalized_Risk_Score,Accident_Severity,Active Shooter_Severity,Civil Unrest_Severity,Criminal Activity_Severity,Health / Outbreak_Severity,Natural Disaster_Severity,Others_Severity,Political Unrest_Severity,Terrorist Act_Severity,Cyberattack_Severity,Power loss_Severity,Total_Risk_Score_Severity,Continent
Aguadilla (AGD),Aguadilla,18.4496551,-67.1184764,2024,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,38.0,3.421461897356143,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,North America
Almaty (ALM),Almaty,43.2363924,76.9457275,2021,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,74.0,12.73100616016427,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Almaty (ALM),Almaty,43.2363924,76.9457275,2022,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,94.0,7.155963302752294,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Asia
Almaty (ALM),Almaty,43.2363924,76.9457275,2024,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Asia
Amstelveen (AML),Amsterdam,52.3730796,4.8924534,2022,34.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.4036697247706424,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Ariana (ARF),Ariana,36.9685735,10.1219855,2022,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.651376146788991,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Africa
Athens (HEA),Athens,33.9597677,-83.376398,2021,34.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,8.829568788501026,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,North America
Athens (HEA),Athens,33.9597677,-83.376398,2022,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,2.6605504587155964,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,North America
Athens (HEA),Athens,33.9597677,-83.376398,2023,52.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,80.0,9.937888198757763,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,North America
Athens (HEA),Athens,33.9597677,-83.376398,2024,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,2.332814930015552,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,North America
Auckland (NZA),Auckland,-36.852095,174.7631803,2021,0.0,0.0,0.0,32.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,110.0,20.123203285420946,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Oceania
Auckland (NZA),Auckland,-36.852095,174.7631803,2022,88.0,0.0,0.0,44.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,172.0,14.311926605504588,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Oceania
Auckland (NZA),Auckland,-36.852095,174.7631803,2023,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,4.503105590062112,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Oceania
Bangalore (BEP),Bangalore,12.9767936,77.590082,2022,372.0,0.0,0.0,0.0,0.0,104.0,420.0,0.0,210.0,0.0,0.0,1106.0,100.0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
